raw_x_east,raw_y_north,x_east,y_north
661438.2588,1509701.496,661440.3841,1509701.308
661437.8079,1509701.511,661439.915,1509701.349
661437.3569,1509701.546,661439.4477,1509701.389
661436.9059,1509701.58,661438.9823,1509701.427
661436.455,1509701.595,661438.5187,1509701.461
661436.0042,1509701.611,661438.0569,1509701.493
661435.5351,1509701.645,661437.5951,1509701.523
661435.0841,1509701.679,661437.1351,1509701.553
661434.6151,1509701.713,661436.6751,1509701.584
661434.1462,1509701.729,661436.2169,1509701.61
661433.6772,1509701.763,661435.7588,1509701.637
661433.2084,1509701.76,661435.2988,1509701.662
661432.7396,1509701.757,661434.8371,1509701.683
661432.2886,1509701.791,661434.3754,1509701.704
661431.8198,1509701.788,661433.9118,1509701.724
661431.369,1509701.785,661433.4483,1509701.741
661430.9183,1509701.783,661432.9866,1509701.755
661430.4675,1509701.78,661432.525,1509701.765
661430.0167,1509701.777,661432.0651,1509701.771
661429.584,1509701.774,661431.6089,1509701.776
661429.1333,1509701.753,661431.1545,1509701.775
661428.7007,1509701.732,661430.7037,1509701.772
661428.2681,1509701.711,661430.2566,1509701.767
661427.8535,1509701.69,661429.8131,1509701.757
661427.4209,1509701.669,661429.3732,1509701.745
661426.9703,1509701.629,661428.9333,1509701.73
661426.5198,1509701.59,661428.4935,1509701.711
661426.0692,1509701.55,661428.0537,1509701.688
661425.6187,1509701.51,661427.6139,1509701.661
661425.1682,1509701.471,661427.1723,1509701.63
661424.7176,1509701.431,661426.7307,1509701.598
661424.2493,1509701.354,661426.2856,1509701.56
661423.799,1509701.278,661425.8386,1509701.517
661423.3305,1509701.22,661425.3863,1509701.47
661422.8802,1509701.143,661424.9323,1509701.418
661422.4299,1509701.067,661424.4782,1509701.361
661421.9796,1509700.99,661424.0242,1509701.301
661421.5292,1509700.914,661423.5702,1509701.238
661421.097,1509700.837,661423.118,1509701.17
661420.6648,1509700.742,661422.6677,1509701.098
661420.2507,1509700.648,661422.221,1509701.019
661419.8365,1509700.553,661421.7797,1509700.939
661419.4224,1509700.458,661421.3421,1509700.857
661418.9903,1509700.345,661420.908,1509700.77
661418.5583,1509700.232,661420.4759,1509700.678
661418.1263,1509700.1,661420.0455,1509700.582
661417.6944,1509699.968,661419.617,1509700.48
661417.2444,1509699.836,661419.1885,1509700.372
661416.7944,1509699.704,661418.7582,1509700.259
661416.3445,1509699.573,661418.3262,1509700.142
661415.9125,1509699.441,661417.8924,1509700.021
661415.4806,1509699.309,661417.4568,1509699.897
661415.0486,1509699.177,661417.0194,1509699.768
661414.6168,1509699.027,661416.5821,1509699.637
661414.185,1509698.877,661416.1447,1509699.501
661413.735,1509698.745,661415.7056,1509699.366
661413.3032,1509698.595,661415.2665,1509699.229
661412.8533,1509698.445,661414.8274,1509699.089
661412.4396,1509698.276,661414.3919,1509698.947
661412.0078,1509698.126,661413.9582,1509698.802
661411.5941,1509697.958,661413.5264,1509698.654
661411.1804,1509697.789,661413.0964,1509698.502
661410.7667,1509697.621,661412.6682,1509698.346
661410.3529,1509697.471,661412.2418,1509698.19
661409.9573,1509697.302,661411.819,1509698.033
